"Colorado Medicaid Fee Schedule January 1, 2014",,,,,,,,,,,,
"The reimbursement rates listed in this fee schedule are valid for services rendered on or after January 1, 2014  Please refer to the Fee Schedule Instructions on the website for an explaination of each field",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
CPT or HCPCS Procedure Code,Procedure Code Modifier,Base Value,Conversion Factor,Total CO Medicaid Allowable (Base Value x Conversion Factor),Min Age,Max Age,Post Op Days,Prior Authorization Needed,,,,
0001F,,,,Not a benefit ,,,,,,,,
0005F,,,,Not a benefit ,,,,,,,,
00100,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00102,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00103,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00104,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00120,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00124,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00126,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0012F,,,,Not a benefit ,,,,,,,,
00140,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00142,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00144,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00145,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00147,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00148,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0014F,,,,Not a benefit ,,,,,,,,
0015F,,,,Not a benefit ,,,,,,,,
00160,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00162,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00164,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00170,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00172,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00174,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00176,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00190,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00192,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0019T,,198.68,7.55,"$1,500.03",000,999,000,No,,,,
00210,,11.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00211,,9.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00212,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00214,,9.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00215,,9.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00216,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00218,,13.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00220,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00222,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00300,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00320,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00322,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00326,,10.00,20.57,Varies based on total anesthesia time,000,0,000,No,,,,
00350,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00352,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00400,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00402,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00404,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00406,,13.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00410,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0042T,,37.41,7.55,$282.45,000,999,000,No,,,,
00450,,5.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00452,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00454,,3.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00470,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00472,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00474,,13.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00500,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0051T,,,,Not a benefit ,,,,,,,,
00520,,6.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00522,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00524,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00528,,8.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00529,,11.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0052T,,,,Not a benefit ,,,,,,,,
00530,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00532,,4.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00534,,7.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00537,,9.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00539,,18.00,20.57,Varies based on total anesthesia time,001,999,000,No,,,,
0053T,,,,Not a benefit ,,,,,,,,
00540,,13.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00541,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00542,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00546,,15.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
00548,,17.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0054T,,40.01,7.55,$302.08,000,999,000,No,,,,
00550,,10.00,20.57,Varies based on total anesthesia time,000,999,000,No,,,,
0055T,,40.01,7.55,$302.08,000,999,000,No,,,,
